Codigo;CodBarras;Descripcion;exisMerida;exisCaracas;Marca;Precio;Oferta;Grupo;Vence;Principio;Escala;DescXEscala;Bonifica;CantBonifica
1404;7594001450764;ARNICA X60ML GTS RECETTEMARK;24;44;RECETTEMARK;6.25;6.25;MEDICAMENTOS;2024-07-25;ARNICA;0.00;0.00;0.000;0.000
198;7596139003508;AROMATIZANTE BAMBOO ZEN 1L SOMA;0;241;SOMA;8.27;7.86;MISCELANEOS;2022-07-25;;2.00;5.00;0.000;0.000
106;7596139005373;AROMATIZANTE LAVANDA YIN 450ML SOMA;0;117;SOMA;3.74;3.55;MISCELANEOS;NULL;;2.00;5.00;0.000;0.000
102;7596139005366;AROMATIZANTE MOMENTOS 450ML SOMA;0;1;SOMA;3.74;3.55;MISCELANEOS;NULL;;2.00;5.00;0.000;0.000
16166;;ARTE VERDE CREMA SOLE MIO 130GR (PROT. SOLAR);2;0;AROMASYTEXTURAS;19.08;19.08;MISCELANEOS;NULL;PROTECTOR SOLAR;0.00;0.00;0.000;0.000
16163;;ARTE VERDE HIDROGEL DE ALOE 130GR;1;0;AROMASYTEXTURAS;14.63;14.63;MISCELANEOS;NULL;PROTECTOR SOLAR;0.00;0.00;0.000;0.000
16164;;ARTE VERDE HIDROGEL DE ARNICA Y ALOE 130GR;3;0;AROMASYTEXTURAS;14.63;14.63;MISCELANEOS;2022-09-25;PROTECTOR SOLAR;0.00;0.00;0.000;0.000
16165;;ARTE VERDE HIDROGEL EXFOLIANTE 130GR;14;0;AROMASYTEXTURAS;17.81;17.81;MISCELANEOS;2022-09-25;PROTECTOR SOLAR;0.00;0.00;0.000;0.000
32699;7707355052083;ARTRITES AMP 75MG/3ML IM CJA X 5 MEYER;152;148;MEYER;90.85;45.43;INYECTABLES;2022-09-25;DICLOFENAC SODICO ;0.00;0.00;1.000;1.000
02606;7591585213402;ARTRODAR  CAP 50MG X 30 LETI;215;113;LETI;76.17;45.70;MEDICAMENTOS;2025-10-25;DIACEREINA;1.00;40.00;0.000;0.000
210001;7591821210011;ARUDIL 15MG  TAB. REC. X 10 FARMA;67;37;FARMA;40.88;35.16;MEDICAMENTOS;2023-11-25;RIVAROXABAN;1.00;14.00;0.000;0.000
21056;7591821210561;ARUDIL 15MG  TAB. REC. X 30 FARMA;48;551;FARMA;115.83;99.61;MEDICAMENTOS;NULL;RIVAROXABAN;1.00;14.00;0.000;0.000
21057;7591821210578;ARUDIL 20 MG TAB REC X 30 - LF FARMA;96;2137;FARMA;163.53;140.64;MEDICAMENTOS;NULL;RIVAROXABAN;1.00;14.00;0.000;0.000
21002;7591821210028;ARUDIL 20MG  TAB. REC. X 10 FARMA;336;55;FARMA;57.92;49.81;MEDICAMENTOS;2023-11-25;RIVAROXABAN;1.00;14.00;0.000;0.000
52468;7591585261236;ASAPROL 81MG X 100COMP LETI;2;2;LETI;54.45;43.56;MEDICAMENTOS;NULL;ACIDO ACETILSALICILICO;1.00;20.00;0.000;0.000
898989;7591585113337;ASARAP 15MG X 20 COMP REC LETI;0;96;LETI;83.26;83.26;MEDICAMENTOS;NULL;RIVAROXABAN;0.00;0.00;0.000;0.000
11334;7591585113344;ASARAP 20MG X 20 COMP REC LETI;3;189;LETI;117.68;117.68;MEDICAMENTOS;2023-10-25;RIVAROXABAN;0.00;0.00;0.000;0.000
123650;7592601100140;ASCAFYL  X 10 TABS MEYER;238;786;MEYER;9.09;9.09;MEDICAMENTOS;2023-09-25;ACETAMINOFEN - CAFEINA - CLORFENIRAMINA;0.00;0.00;1.000;6.000
00260;7592601100676;ASCAFYL PLUS X 10 TAB MEYER;420;2451;MEYER;10.38;10.07;MEDICAMENTOS;2024-02-25;ACETAMINOFEN -CAFEINA -CLORFENIRAMINA ;18.00;3.00;0.000;0.000
00261;7592601301776;ASCAFYL SC 0,4MG - 80MG GOTAS X 15ML MEYER;182;317;MEYER;9.73;8.76;MEDICAMENTOS;2023-02-25;ACETAMINOFEN -CLORFENIRAMINA ;1.00;10.00;0.000;0.000
985551;7593090001529;ATAPEC 100 MG 30 TAB FC PHARMA;31;33;FC PHARMA;68.53;68.53;MEDICAMENTOS;2023-05-25;QUETIAPINA ;0.00;0.00;0.000;0.000
140254;7703763090358;ATENOLOL TAB 100MG X 30 LA SANTE;193;206;LA SANTE;17.95;17.05;MEDICAMENTOS;2023-09-25;ATENOLOL;1.00;5.00;0.000;0.000
11021;7592616011028;ATENOLOL TAB 50MG X 30 KIMICEG;233;174;KIMICEG;15.57;14.01;MEDICAMENTOS;2023-08-25;ATENOLOL;1.00;10.00;0.000;0.000
140255;7703763090341;ATENOLOL TAB 50MG X 30 LA SANTE;242;473;LA SANTE;19.33;18.75;MEDICAMENTOS;2023-06-25;ATENOLOL;1.00;3.00;0.000;0.000
45876;7591585373441;ATORVASTATINA  20MG X 30CR LETI;0;94;LETI;21.85;19.23;MEDICAMENTOS;NULL;ATORVASTATINA ;1.00;12.00;0.000;0.000
140263;7703763200900;ATORVASTATINA 20 MG TAB X 14 VZLA ELTER;706;748;LA SANTE;11.04;8.83;MEDICAMENTOS;2023-11-25;ATORVASTATINA ;1.00;20.00;0.000;0.000
143725;7592454889650;ATORVASTATINA 20 MG TAB X 30 VZLA ELTER;815;672;LA SANTE;20.71;18.64;MEDICAMENTOS;2023-11-25;ATORVASTATINA ;1.00;10.00;0.000;0.000
30680;7702605103461;ATORVASTATINA 20MG X 10 GENFAR;0;322;GENFAR;11.95;10.76;MEDICAMENTOS;2023-04-25;ATORVASTATINA ;1.00;10.00;0.000;0.000
16874;8906109691267;ATORVASTATINA 20MG X 30 TAB ADN MEDICAL;243;100;ADN MEDICAL;19.41;18.44;MEDICAMENTOS;2023-01-25;ATORVASTATINA ;1.00;5.00;0.000;0.000
7532;7597758000732;ATORVASTATINA 20MG X 30 TAB ALESS PHARMACEUTI;1359;1628;ALESS;18.33;16.50;MEDICAMENTOS;2024-02-25;ATORVASTATINA ;1.00;10.00;0.000;0.000
36597;7598176000250;ATORVASTATINA 20MG X 30 TAB ANGELUS;247;0;ANGELUS;11.22;11.22;MEDICAMENTOS;2024-04-25;ATORVASTATINA ;0.00;0.00;0.000;0.000
91454-1;7703038067597;ATORVASTATINA 20MG X 50 TAB LAPROFF;8;33;LAPROFF;55.08;49.57;MEDICAMENTOS;2023-04-25;ATORVASTATINA ;1.00;10.00;0.000;0.000
91454;;ATORVASTATINA 20MG X10T (BLIST) LAPROFF;2;0;LAPROFF;10.45;9.41;MEDICAMENTOS;2023-02-25;ATORVASTATINA ;1.00;10.00;0.000;0.000
140265;7703763200887;ATORVASTATINA 40 mg TAB  X 14 ELTER;500;462;LA SANTE;22.10;21.00;MEDICAMENTOS;2023-08-25;ATORVASTATINA ;1.00;5.00;0.000;0.000
143726;7592454003346;ATORVASTATINA 40 MG TAB  X 30 ELTER;561;1384;LA SANTE;46.95;35.21;MEDICAMENTOS;2024-02-25;ATORVASTATINA ;1.00;25.00;0.000;0.000
91455;;ATORVASTATINA 40MG X 10 T (BLIST) LAPROFF;2;0;LAPROFF;33.33;30.00;MEDICAMENTOS;2022-12-25;ATORVASTATINA ;1.00;10.00;0.000;0.000
290143;7598429000143;ATORVASTATINA 40MG X 10 TAB CAMBRIDGE;1;48;CAMBRIDGE;7.00;7.00;MEDICAMENTOS;NULL;ATORVASTATINA ;0.00;0.00;0.000;0.000
61660;;ATORVASTATINA 40MG X 10 TAB GEAGAR;2;2;GEAGAR;8.18;8.18;MEDICAMENTOS;2023-09-25;ATORVASTATINA ;0.00;0.00;0.000;0.000
030;7598813000179;ATORVASTATINA 40MG X 100 TAB MM;76;94;MM;59.78;59.78;MEDICAMENTOS;2024-07-25;ATORVASTATINA ;0.00;0.00;0.000;0.000
759451;7591585273451;ATORVASTATINA 40MG X 10CR GENVEN;0;2;GENVEN;18.60;18.60;MEDICAMENTOS;NULL;ATORVASTATINA ;0.00;0.00;0.000;0.000
91455-1;7703038045885;ATORVASTATINA 40MG X 30 TAB  LAPROFF;29;3;LAPROFF;105.48;94.93;MEDICAMENTOS;2022-12-25;ATORVASTATINA ;1.00;10.00;0.000;0.000
759749;7597758000749;ATORVASTATINA 40MG X 30 TAB ALESS PHARMACEUTI;1056;2089;ALESS;23.65;21.29;MEDICAMENTOS;2024-02-25;ATORVASTATINA (40 mg);1.00;10.00;0.000;0.000
759254;7598578000254;ATORVASTATINA 40MG X 30 TAB DAC55;366;650;DAC 55;17.15;17.15;MEDICAMENTOS;2024-08-25;ATORVASTATINA ;0.00;0.00;0.000;0.000
890729;8904210705729;ATORVASTATINA 40MG X 30 TAB OB MEDICAL;328;113;OB MEDICAL;23.54;23.54;MEDICAMENTOS;2024-05-25;ATORVASTATINA ;0.00;0.00;0.000;0.000
100118;7592432901435;ATOVAROL 20mg CAP x 14 VIVAX;0;9;VIVAX;16.94;11.86;MEDICAMENTOS;NULL;ATORVASTATINA ;1.00;30.00;0.000;0.000
101194;7592432900148;ATOVAROL 20mg CAP x 30 VIVAX;0;51;VIVAX;28.31;25.48;MEDICAMENTOS;NULL;ATORVASTATINA ;1.00;10.00;0.000;0.000
100119;7592432901442;ATOVAROL 40mg CAP x 14 VIVAX;40;57;VIVAX;28.40;19.88;MEDICAMENTOS;2023-07-25;ATORVASTATINA ;1.00;30.00;0.000;0.000
101195;7592432900155;ATOVAROL 40mg CAP x 30 VIVAX;0;29;VIVAX;46.76;46.76;MEDICAMENTOS;NULL;ATORVASTATINA ;0.00;0.00;0.000;0.000
847128;8470006723128;ATROALDO INHALADOR 20MCG/200DOSIS ALDO-UNI;31;178;ALDO-UNION;44.71;44.71;MEDICAMENTOS;2024-05-25;BROMURO DE IPRATROPIO ;0.00;0.00;0.000;0.000
35065;7702123409861;AVELOX 400MG INF IV BAYER;212;548;BAYER;156.72;156.72;INYECTABLES;2025-06-25;MOXIFLOXACINA;0.00;0.00;0.000;0.000
750105;7591635000105;AVISPA CHAMPU 120 ML;123;234;INTERCOS;10.37;10.37;MEDICAMENTOS;NULL;;0.00;0.00;0.000;0.000
759112;7591635000112;AVISPA CHAMPU 220 ML INTERCOS;137;240;INTERCOS;14.36;14.36;MISCELANEOS;2022-10-25;;0.00;0.00;0.000;0.000
759136;7591635000136;AVISPA CHAMPU 60 ML;8;234;INTERCOS;6.23;6.23;MEDICAMENTOS;NULL;;0.00;0.00;0.000;0.000
08083;7591635910190;AVISPA LOCION JABONOSA 220 ML;0;1;INTERCOF;14.35;14.35;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
08081;7591635910213;AVISPA LOCION JABONOSA 60 ML;5;0;INTERCOF;6.22;6.22;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
08084;7591635000198;AVISPA REPELENTE EN CREMA TARRO 100 GM;11;119;INTERCOF;10.37;10.37;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
08085;7591635000204;AVISPA REPELENTE EN CREMA TUBO 100 GM;7;66;INTERCOF;11.51;11.51;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
68570;7703281007616;AVITIL GEL X 50 G MEDIHEALTH;140;142;MEDIHEALTH;90.85;90.85;MEDICAMENTOS;2023-11-25;EXTRAMEL;0.00;0.00;0.000;0.000
11428;7591585114280;AXOKINE 400MG X 5 CR LETI;2;0;LETI;73.43;73.43;MEDICAMENTOS;NULL;MOXIFLOXACINA;0.00;0.00;0.000;0.000
10951;7591196002464;AZACARD 81 MG X 30 TAB OFTALMI;492;812;OFTALMI;16.67;15.00;MEDICAMENTOS;2023-07-25;ACIDO ACETILSALICILICO;1.00;10.00;0.000;0.000
10366;7591196002471;AZACARD 81 MG X 60 TAB OFTALMI;715;0;OFTALMI;26.32;23.69;MEDICAMENTOS;2024-01-25;ACIDO ACETILSALICILICO;1.00;10.00;0.000;0.000
1333;7594001450788;AZAHARES X 60 ML GTS  RECETTEMARK;2;0;RECETTEMARK;9.75;9.75;MEDICAMENTOS;NULL;AZZAHAR;0.00;0.00;0.000;0.000
52948;7796285051792;AZIATOP 20 MG X 14 CAP ELEA;2;236;ELEA;17.74;17.74;MEDICAMENTOS;2023-02-25;OMEPRAZOL ;0.00;0.00;0.000;0.000
52309;7796285053642;AZIATOP 20 MG X 28 CAP ELEA;23;156;ELEA;23.66;23.66;MEDICAMENTOS;2022-12-25;OMEPRAZOL ;0.00;0.00;0.000;0.000
89590;7591619520643;AZIMAKROL COMP 1GR X 2 ROEMMERS;52;0;ROEMMERS;29.85;29.85;MEDICAMENTOS;2023-11-25;AZITROMICINA;0.00;0.00;0.000;0.000
63266;8699525092267;AZITRO 500MG X 3 TAB DEVA;320;45;DEVA;9.98;9.98;MEDICAMENTOS;2024-08-25;AZITROMICINA;0.00;0.00;0.000;0.000
32853;7594001101352;AZITRODEX 500MG X 3 TAB PLUSANDEX;1820;1382;PLUSANDEX;10.23;8.70;MEDICAMENTOS;2024-02-25;AZITROMICINA;1.00;15.00;0.000;0.000
98568;7594001101369;AZITRODEX 500MG X 5 TAB PLUSANDEX;461;672;PLUSANDEX;16.47;14.00;MEDICAMENTOS;2024-02-25;AZITROMICINA;1.00;15.00;0.000;0.000
759182;7598176000182;AZITROMICINA 200MG 15ML ANGELUS;1240;646;ANGELUS;22.73;22.73;MEDICAMENTOS;2024-12-25;AZITROMICINA;0.00;0.00;0.000;0.000
701009;8904177102081;AZITROMICINA 500 MG X 3 TAB  CAMBRIDGE;9;0;CAMBRIDGE;8.27;8.27;MEDICAMENTOS;NULL;AZITROMICINA;0.00;0.00;0.000;0.000
759052;7598176000052;AZITROMICINA 500 MG X 3 TAB ANGELUS;167;155;ANGELUS;12.74;12.74;MEDICAMENTOS;2024-06-25;AZITROMICINA;0.00;0.00;0.000;0.000
002377;7750215002377;AZITROMICINA 500 MG X 3 TAB PORTUGAL;500;445;PORTUGAL;14.44;11.55;MEDICAMENTOS;2023-10-25;AZITROMICINA;1.00;20.00;0.000;0.000
16383;8906109691236;AZITROMICINA 500MG X 5 TAB ADN MEDICAL;46;0;ADN MEDICAL;18.23;17.32;MEDICAMENTOS;2024-01-25;AZITROMICINA;1.00;5.00;0.000;0.000
104525-1;7750215015339;AZITROMICINA 500MG X100 TAB PORTU;17;7;PORTUGAL;310.71;264.10;MEDICAMENTOS;2023-08-25;AZITROMICINA;1.00;15.00;0.000;0.000
759152;7597758000152;AZITROMICINA POLVO/SUS 200MG/5MLX22.5ML ALESS;120;120;ALESS;12.73;10.18;MEDICAMENTOS;2024-12-25;AZITROMICINA;1.00;20.00;0.000;0.000
000002;7591519002027;AZITROMICINA TAB 500MG X 3 CALOX;6588;3461;CALOX;9.35;9.35;MEDICAMENTOS;2024-01-25;AZITROMICINA;1.00;0.00;0.000;0.000
18655;7598578000049;AZITROMICINA TAB 500MG X 3 DAC55;753;108;DAC 55;9.12;9.12;MEDICAMENTOS;2024-08-25;AZITROMICINA;0.00;0.00;0.000;0.000
9100234;7702605100491;AZITROMICINA TAB 500MG X 3 TAB GENFAR;384;384;GENFAR;17.85;17.85;MEDICAMENTOS;2023-07-25;AZITROMICINA;0.00;0.00;0.000;0.000
019;7598813000049;AZITROMICINA TAB 500MG X 3 TAB MM;60;227;MM;8.72;8.72;MEDICAMENTOS;2024-08-25;AZITROMICINA;0.00;0.00;0.000;0.000
140269;7703763700219;AZITROMICINA TAB 500MG X 5 VZLA ELTER;4;0;LA SANTE;16.58;14.92;MEDICAMENTOS;NULL;AZITROMICINA;1.00;10.00;0.000;0.000
759145;7597758000145;AZITROMICINA TAB 500MGX5 ALESS;380;240;ALESS;14.54;11.63;MEDICAMENTOS;2024-10-25;AZITROMICINA;1.00;20.00;0.000;0.000
08597;7591585279460;AZITROMICINA TAB 500MGX5 LETI;1286;560;LETI;20.32;14.22;MEDICAMENTOS;2023-11-25;AZITROMICINA;1.00;30.00;0.000;0.000
17425;7591039725772;AZUCARADAS 240 G.;3;0;ALFONZO RIVAS;7.45;7.45;ALIMENTOS;NULL;;0.00;0.00;0.000;0.000
57463;7591012101227;AZUFRE 20 G LYA;55;63;LYA;4.36;3.92;PATENTADOS NATURALES;2025-01-25;AZUFRE;1.00;10.00;0.000;0.000
30127;;AZUFRE 20 G X 12 UND. TARRO FSI;6;0;FSI;75.35;64.05;PATENTADOS NATURALES;2025-07-25;AZUFRE;1.00;15.00;0.000;0.000
30128;;AZUFRE 20 G x 6 UND. TARRO FSI;13;0;FSI;33.74;28.68;PATENTADOS NATURALES;2025-07-25;AZUFRE;1.00;15.00;0.000;0.000
9041;7591616001510;AZUFRE POLVO 20GR BIOFARCO;43;41;BIOFARCO;4.45;3.56;PATENTADOS NATURALES;2023-10-25;AZUFRE;1.00;20.00;0.000;0.000
69636;7592141000269;AZUFRE POLVO 25GR FINE CHEMICALS;3199;0;FINE CHEMICALS;3.70;3.70;PATENTADOS NATURALES;2023-09-25;AZUFRE;0.00;0.00;0.000;0.000
1243;7594001452089;AZUFRE X25 GRS RECETTEMARK;196;98;RECETTEMARK;2.24;2.24;PATENTADOS NATURALES;2024-03-25;ACIDO BORICO;0.00;0.00;0.000;0.000
289348;7591012049000;AZUL DE METILENO 30 CC LYA;217;77;LYA;5.06;4.55;PATENTADOS NATURALES;2024-11-25;AZUL DE METILENO;1.00;10.00;0.000;0.000
30129;7592368000417;AZUL DE METILENO 30 cm³ PAQ x 6 UND. FSI;1;0;FSI;29.51;25.08;PATENTADOS NATURALES;NULL;AZUL DE METILENO;1.00;15.00;0.000;0.000
9039;7591616000360;AZUL DE METILENO 30CC BIOFARCO;357;44;BIOFARCO;4.75;4.28;PATENTADOS NATURALES;2024-08-25;AZUL DE METILENO;1.00;10.00;0.000;0.000
1053-1;7594001455332;AZUL DE METILENO X 70 ML SPRAY RECETTEMARK;4;61;RECETTEMARK;14.22;14.22;MISCELANEOS;2022-09-25;;0.00;0.00;0.000;0.000
00326;7591243803167;AZUTAN COLUTORIO BUCALM BIOTECH;0;1116;BIOTECH;14.27;13.56;MEDICAMENTOS;NULL;CLORHIDRATO DE BENZIDAMINA;1.00;5.00;0.000;0.000
732857;732064572857;BACIPORIN + UNG DERMICO 14.17G BRIUTCARE;152;184;BRIUTCARE;16.85;14.32;MEDICAMENTOS;2024-01-25;BACITRACINA (500 UI);1.00;15.00;0.000;0.000
732864;732064572864;BACIPORIN CREMA 28.23G BRIUTCARE;215;241;BRIUTCARE;20.69;17.59;MEDICAMENTOS;2024-01-25;BACITRACINA (500 UI);1.00;15.00;0.000;0.000
057179;6942189211348;BACITRACINA /NEOMICIN. 500UI UNG TOP. X 15GR;0;3;KMPLUS;10.36;10.36;MEDICAMENTOS;NULL;BACITRACINA (500 UI);0.00;0.00;0.000;0.000
30016;7591619505015;BACITRACINA 500UI UNG TOP X 15GRS KLINOS;1482;770;ROEMMERS;16.87;11.81;MEDICAMENTOS;2023-03-25;BACITRACINA (500 UI);1.00;30.00;0.000;0.000
75296;7592616021010;BACITRACINA 500UI UNG X 15GR. KIMICEG;443;466;KIMICEG;15.00;13.50;MEDICAMENTOS;2024-07-25;BACITRACINA (500 UI);1.00;10.00;0.000;0.000
17547;7592806141016;BACITRACINA 500UI UNG X 15GR. RONAVA;271;8;RONAVA;9.86;9.86;MEDICAMENTOS;2025-02-25;BACITRACINA (500 UI);0.00;0.00;0.000;0.000
05306;7592806122015;BACTRON 40MG-200MG/5MG SUSP FC X 100ML RONAVA;376;75;RONAVA;14.54;14.54;MEDICAMENTOS;2026-12-25;TRIMETROPRIM-SULFAMETOXAZOL;0.00;0.00;0.000;0.000
05305;7592806133073;BACTRON 80 MG/400 MG X 20 TAB RONAVA;608;189;RONAVA;15.18;15.18;MEDICAMENTOS;2026-10-25;TRIMETROPRIM-SULFAMETOXAZOL;0.00;0.00;0.000;0.000
20072;;BAJA LENGUA CAJA X 100 SUGAMA;0;8;SUGAMA;7.76;7.76;DESCARTABLES;NULL;;0.00;0.00;0.000;0.000
3001040;;BALERY TAB X21 ZAKI;0;2;ZAKI;38.16;38.16;MEDICAMENTOS;NULL;CLORMADINONA ACETATO -ETINILESTRADIOL (2 mg - 0,02 mg);0.00;0.00;0.000;0.000
30563;7592616030012;BALSADER POMADA X 30GR KIMICEG;328;177;KIMICEG;8.01;7.45;MEDICAMENTOS;2026-06-25;SALICILATO DE METILO -MENTOL-ALCANFOR;1.00;7.00;0.000;0.000
71933;678358669684;BALSAMO CELULAS MADRES400cm NATURISTIK;4;0;NATURISTIK;12.67;10.14;MISCELANEOS;2024-07-25;;1.00;20.00;0.000;0.000
70032;7597878000032;BÁLSAMO LABIA DE CACAO MENTA 10GR BESO MUSA;1;0;MUSA;7.00;7.00;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
65872;;BÁLSAMO LABIAL (MANTECA DE CACAO) LYA;240;60;LYA;7.13;6.42;MISCELANEOS;2024-03-25;MANTECA DE CACAO;1.00;10.00;0.000;0.000
20820;7593090002199;BARROCUTINA GEL FACIAL INVISIBLE FC PHARMA;52;50;FC PHARMA;11.38;10.81;MISCELANEOS;2024-08-25;;1.00;5.00;0.000;0.000
9855529;7593090002397;BARROCUTINA TEENS 120ML FC PHARMA;2;0;FC PHARMA;16.17;15.36;MISCELANEOS;NULL;;1.00;5.00;0.000;0.000
985532;7593090000577;BARROCUTINA TEENS TONICO 120ML FC PHARMA;11;4;FC PHARMA;20.57;19.54;MISCELANEOS;2023-12-25;;1.00;5.00;0.000;0.000
059732;8908010870281;BECLOMETASONA INH  250MCG X 200 DOSIS KMPLUS;0;10;KMPLUS;78.52;78.52;MEDICAMENTOS;NULL;BECLOMETASONA -SALBUTAMOL;0.00;0.00;0.000;0.000
25879;7592601100188;BELOC 100MG TAB X 10 MEYER;27;384;MEYER;14.28;7.14;MEDICAMENTOS;2022-10-25;ATENOLOL;0.00;0.00;1.000;1.000
25878;7592601100195;BELOC 100MG TAB X 20 MEYER;265;29;MEYER;20.11;10.06;MEDICAMENTOS;2022-10-25;ATENOLOL;0.00;0.00;1.000;1.000
25880;7592601100164;BELOC 50MG TAB X 10 MEYER;996;314;MEYER;7.78;7.78;MEDICAMENTOS;2022-10-25;ATENOLOL;0.00;0.00;1.000;1.000
692243;6921875010243;BENCILPENICILINA SODICA 1.000.000 UI I.M;126;241;HB;1.15;1.15;INYECTABLES;2023-10-25;PENICILINA;0.00;0.00;0.000;0.000
12103;7592601100218;BENDAMEN 100MG X 6 TAB MEYER;275;507;MEYER;9.09;8.64;MEDICAMENTOS;2027-02-25;MEBENDAZOL ;1.00;5.00;0.000;0.000
21824;7592348203005;BENFLUX JARABE X 120MLPOLINAC;41;1;POLINAC;16.23;15.42;MEDICAMENTOS;2024-10-25;AMBROXOL ;1.00;5.00;0.000;0.000
21825;7592348203104;BENFLUX TABLETAS X 20 POLINAC;1;27;POLINAC;20.42;20.42;MEDICAMENTOS;2024-09-25;AMBROXOL ;0.00;0.00;0.000;0.000
200080;7598455000186;BENUCOMPLEX B12 10ML X 1 AMP BIOGLASS;252;179;BIOGLASS;7.00;7.00;INYECTABLES;2023-09-25;COMPLEJO B;0.00;0.00;0.000;0.000
10355;7592601100881;BENZODIAZOL MENTA X 16 TABLETAS MEYER;1568;1103;MEYER;12.33;12.33;MEDICAMENTOS;2024-02-25;LIDOCAINA CLORH+DECUALINO CLORH;0.00;0.00;0.000;0.000
10361;7592601301516;BENZODIAZOL MIEL LIMON X 16 TABLETAS MEYER;144;0;MEYER;12.33;12.33;MEDICAMENTOS;2025-02-25;LIDOCAINA CLORH+DECUALINO CLORH;0.00;0.00;0.000;0.000
98530;7592601100874;BENZODIAZOL TUTTIFRUTTI X 16 TABLETAS MEYER;1149;1333;MEYER;12.33;12.33;MEDICAMENTOS;2025-03-25;LIDOCAINA DECUALINO CLORH;0.00;0.00;0.000;0.000
803601;7591243803600;BEPRODERM 0,05%-0,1% CREMA TUBO 15 G BIOTECH;182;284;BIOTECH;19.77;18.78;MEDICAMENTOS;2023-07-25;BETAMETASONA ;1.00;5.00;0.000;0.000
803731;7591243803730;BEPROSPEN 7 MG/ML SUSP INY KIT 1 AMP 1ML+INY;1919;329;BIOTECH;32.77;31.13;INYECTABLES;2023-07-25;BETAMETASONA DIPROPIONATO -BETAMETASONA FOSFATO SODICO;1.00;5.00;0.000;0.000
14492;7592946168560;BERRO JBE 240ML ARCO IRIS;252;212;ARCO IRIS;24.41;21.97;PATENTADOS NATURALES;2024-03-25;BERRO;1.00;10.00;0.000;0.000
56320;7591243804140;BETADERM 0.05% CREMA 15GR BIOTECH;0;171;BIOTECH;19.13;18.17;MEDICAMENTOS;NULL;BETAMETASONA ;1.00;5.00;0.000;0.000
80404;7591243804041;BETADERM C/GENTAMICINA CREMA 15GR BIOTECH;168;363;BIOTECH;20.12;19.11;MEDICAMENTOS;2023-07-25;BETAMETASONA -GENTAMICINA;1.00;5.00;0.000;0.000
63259;7591243804164;BETADERM PLUS CREMA TUBO 15 GR BIOTECH;564;235;BIOTECH;21.80;20.71;MEDICAMENTOS;2023-09-25;BETAMETASONA -CLOTRIMAZOL -GENTAMICINA;1.00;5.00;0.000;0.000
04359;7591243804287;BETAGEN 4MG X 1ML SOLUC INY  BIOTECH;52;463;BIOTECH;18.11;17.20;INYECTABLES;2023-09-25;BETAMETASONA ;1.00;5.00;0.000;0.000
90888;7591243804409;BETAGEN SOLSP SOL INY X 1ML BIOTECH;1821;820;BIOTECH;26.15;24.84;INYECTABLES;2023-05-25;FOSFATO DISODICO DE BETAMETASONA;1.00;5.00;0.000;0.000
68571;7703333007700;BETAGRANULOS CREMA TUBO X 60 G MEDIHEALTH;30;54;MEDIHEALTH;62.30;62.30;MEDICAMENTOS;2024-04-25;CREMA LIMPIADORA;0.00;0.00;0.000;0.000
141829;7592454002400;BETAHISTINA 16MG TAB X 20 ELTER;958;760;LA SANTE;28.99;28.12;MEDICAMENTOS;2023-10-25;BETAHISTINA (16 mg);1.00;3.00;0.000;0.000
63966;7703038067146;BETAHISTINA 8MG X 20 TAB LAPROFF;4;0;LAPROFF;99.73;89.76;MEDICAMENTOS;2023-06-25;BETAHISTINA (16 mg);1.00;10.00;0.000;0.000
750220;7750215023396;BETAMETASONA 0.05% CREMA 20GRS PORTUGAL;102;69;PORTUGAL;12.58;11.32;MEDICAMENTOS;2025-07-25;BETAMETASONA ;1.00;10.00;0.000;0.000
19381;7703281001010;BETAPIROX CHAMPÚ LOCION ANT 120 ML MEDIHEALTH;18;23;MEDIHEALTH;71.38;71.38;MISCELANEOS;2024-03-25;PIRITIONATO DE ZINC;0.00;0.00;0.000;0.000
68479;7591619517834;BETARRETIN 0.025% GEL TUBO 30 GR MEDIHEALTH;66;58;MEDIHEALTH;41.53;41.53;MEDICAMENTOS;2024-04-25;ACIDO RETINOICO ;0.00;0.00;0.000;0.000
68573;7591619517841;BETARRETIN 0.025%CREMA TUBO 30 GR MEDIHEALTH;40;25;MEDIHEALTH;36.34;36.34;MEDICAMENTOS;2025-02-25;ACIDO RETINOICO ;0.00;0.00;0.000;0.000
68574;7591619517858;BETARRETIN 0.05% CREMA TUBO 30 GR MEDIHEALTH;11;0;MEDIHEALTH;46.72;46.72;MEDICAMENTOS;2025-02-25;ACIDO RETINOICO ;0.00;0.00;0.000;0.000
68575;7703333007007;BETARRETIN 0.05% LOCION X 60 G MEDIHEALTH;69;78;MEDIHEALTH;57.11;57.11;MEDICAMENTOS;2025-02-25;ACIDO RETINOICO ;0.00;0.00;0.000;0.000
68577;7703333007205;BETARRETIN H  0,05/5% LOCION X 60 ML MEDIHEAL;49;0;MEDIHEALTH;68.79;68.79;MEDICAMENTOS;2024-04-25;ACIDO RETINOICO -HIDROQUINONA;0.00;0.00;0.000;0.000
